,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon
60,Bermondsey,Amersham,9,0,51.4979607802573,-0.0643300900477039,51.6741293179421,-0.6065137893557739
61,Blackfriars,Amersham,0,2,51.5115869277802,-0.10299538523578698,51.6741293179421,-0.6065137893557739
62,Bond Street,Amersham,0,2,51.51379752478379,-0.14961360982794597,51.6741293179421,-0.6065137893557739
63,Caledonian Road,Amersham,2,0,51.547885441027496,-0.118360861873635,51.6741293179421,-0.6065137893557739
64,Chancery Lane,Amersham,0,4,51.518494016584704,-0.11196202748568902,51.6741293179421,-0.6065137893557739
65,Charing Cross,Amersham,11,49,51.5083586300048,-0.124802938133095,51.6741293179421,-0.6065137893557739
66,Chesham,Amersham,10,0,51.705380020677296,-0.6114296571259019,51.6741293179421,-0.6065137893557739
67,Chorleywood,Amersham,6,0,51.6542659264231,-0.518333926536853,51.6741293179421,-0.6065137893557739
68,Covent Garden,Amersham,0,13,51.512760234858206,-0.12450689463272302,51.6741293179421,-0.6065137893557739
69,Croxley,Amersham,1,0,51.647005280107,-0.44160379825288504,51.6741293179421,-0.6065137893557739
70,Ealing Common,Amersham,3,1,51.5102486557265,-0.28715141790547805,51.6741293179421,-0.6065137893557739
71,Euston Square,Amersham,0,2,51.52866433052879,-0.133296471846732,51.6741293179421,-0.6065137893557739
72,Farringdon,Amersham,31,0,51.5201956882975,-0.10484306195035001,51.6741293179421,-0.6065137893557739
73,Finchley Road,Amersham,1,5,51.5470961986729,-0.180050560513333,51.6741293179421,-0.6065137893557739
74,Great Portland Street,Amersham,0,2,51.5237887958946,-0.14396142528077602,51.6741293179421,-0.6065137893557739
75,Harrow-on-the-Hill,Amersham,7,0,51.5793881186851,-0.33700151732302597,51.6741293179421,-0.6065137893557739
76,Holborn,Amersham,0,39,51.51723573506929,-0.11984050743238,51.6741293179421,-0.6065137893557739
77,Kingsbury,Amersham,0,9,51.58487651699329,-0.278601608230903,51.6741293179421,-0.6065137893557739
78,Ladbroke Grove,Amersham,1,0,51.5172106734536,-0.210198172458574,51.6741293179421,-0.6065137893557739
79,Lambeth North,Amersham,0,4,51.499129945865796,-0.11176826118096302,51.6741293179421,-0.6065137893557739
80,London Bridge,Amersham,0,13,51.5046743475629,-0.0860055981730393,51.6741293179421,-0.6065137893557739
81,Moor Park,Amersham,6,0,51.62993066541039,-0.43291302742675797,51.6741293179421,-0.6065137893557739
82,North Wembley,Amersham,18,0,51.56239629153811,-0.30394821929308,51.6741293179421,-0.6065137893557739
83,Northwood,Amersham,0,1,51.611213610715,-0.423837786672373,51.6741293179421,-0.6065137893557739
84,Oxford Circus,Amersham,0,14,51.5152234024753,-0.140836171281216,51.6741293179421,-0.6065137893557739
85,Piccadilly Circus,Amersham,0,56,51.5096967485824,-0.133711597193113,51.6741293179421,-0.6065137893557739
86,Pinner,Amersham,25,0,51.5923616780875,-0.38122379020978003,51.6741293179421,-0.6065137893557739
87,Preston Road,Amersham,0,2,51.572103728155795,-0.294972012548964,51.6741293179421,-0.6065137893557739
88,Rayners Lane,Amersham,7,0,51.5753967323171,-0.3710608137742671,51.6741293179421,-0.6065137893557739
89,Rickmansworth,Amersham,25,0,51.6403230144667,-0.473684584103803,51.6741293179421,-0.6065137893557739
90,Russell Square,Amersham,0,2,51.523013038091094,-0.12459019776958,51.6741293179421,-0.6065137893557739
91,Southwark,Amersham,0,27,51.5038536204048,-0.105794939570331,51.6741293179421,-0.6065137893557739
92,Tottenham Court Road,Amersham,0,23,51.51621087007461,-0.131110438934185,51.6741293179421,-0.6065137893557739
93,Uxbridge,Amersham,5,0,51.5464545066041,-0.477101559701882,51.6741293179421,-0.6065137893557739
94,Vauxhall,Amersham,0,5,51.485735801715705,-0.123829952856406,51.6741293179421,-0.6065137893557739
95,Victoria,Amersham,0,24,51.4964239527317,-0.143920706325316,51.6741293179421,-0.6065137893557739
96,Westminster,Amersham,4,1,51.501401591350096,-0.125002079249726,51.6741293179421,-0.6065137893557739
97,White City,Amersham,0,261,51.512232437641494,-0.22463193144813,51.6741293179421,-0.6065137893557739
98,Acton Town,Angel,13,0,51.503071442963495,-0.28030270140601,51.53296801568911,-0.10558144894639801
99,Aldgate,Angel,14,30,51.5143423787415,-0.0756269126501567,51.53296801568911,-0.10558144894639801
100,Aldgate East,Angel,39,87,51.5150816226404,-0.0730014627258136,51.53296801568911,-0.10558144894639801
101,Amersham,Angel,14,0,51.6741293179421,-0.6065137893557739,51.53296801568911,-0.10558144894639801
102,Archway,Angel,158,106,51.5654905340774,-0.135121576677549,51.53296801568911,-0.10558144894639801
103,Arnos Grove,Angel,0,52,51.616230141680205,-0.134270218764562,51.53296801568911,-0.10558144894639801
104,Arsenal,Angel,2,0,51.5585413757193,-0.105499933602789,51.53296801568911,-0.10558144894639801
105,Baker Street,Angel,29,293,51.5231296204391,-0.15690419441262,51.53296801568911,-0.10558144894639801
106,Balham,Angel,99,0,51.443182562032604,-0.152685163343656,51.53296801568911,-0.10558144894639801
107,Barking,Angel,153,0,51.539521113341294,0.0808316100128655,51.53296801568911,-0.10558144894639801
108,Barons Court,Angel,38,0,51.4902286819759,-0.213430145064537,51.53296801568911,-0.10558144894639801
109,Becontree,Angel,13,44,51.5395854092624,0.12688029173904,51.53296801568911,-0.10558144894639801
110,Belsize Park,Angel,73,170,51.5501908776835,-0.163974492584094,51.53296801568911,-0.10558144894639801
111,Bermondsey,Angel,61,30,51.4979607802573,-0.0643300900477039,51.53296801568911,-0.10558144894639801
112,Bethnal Green,Angel,39,0,51.527191741204994,-0.0553921116245381,51.53296801568911,-0.10558144894639801
113,Blackhorse Road,Angel,15,0,51.5857766270677,-0.0396257115532134,51.53296801568911,-0.10558144894639801
114,Bond Street,Angel,5,49,51.51379752478379,-0.14961360982794597,51.53296801568911,-0.10558144894639801
115,Borough,Angel,78,91,51.50104886940699,-0.0941973231491299,51.53296801568911,-0.10558144894639801
116,Boston Manor,Angel,10,0,51.4957655352965,-0.32474718876578806,51.53296801568911,-0.10558144894639801
117,Bounds Green,Angel,85,0,51.607031921240704,-0.124177065625754,51.53296801568911,-0.10558144894639801
118,Bow Road,Angel,54,5,51.5270418067574,-0.0243595906651091,51.53296801568911,-0.10558144894639801
119,Brent Cross,Angel,30,10,51.576599215060604,-0.21333584051056304,51.53296801568911,-0.10558144894639801
120,Brixton,Angel,164,43,51.4627368020741,-0.11455209758661801,51.53296801568911,-0.10558144894639801
121,Buckhurst Hill,Angel,23,0,51.626576660928,0.0467125412965725,51.53296801568911,-0.10558144894639801
122,Burnt Oak,Angel,45,0,51.6025519118101,-0.264330712266273,51.53296801568911,-0.10558144894639801
123,Caledonian Road,Angel,23,0,51.547885441027496,-0.118360861873635,51.53296801568911,-0.10558144894639801
124,Camden Town,Angel,79,163,51.539969352277005,-0.142452381051009,51.53296801568911,-0.10558144894639801
125,Canada Water,Angel,284,46,51.4981684118441,-0.0508071209954049,51.53296801568911,-0.10558144894639801
126,Canary Wharf,Angel,29,196,51.5035784043688,-0.0194668401596637,51.53296801568911,-0.10558144894639801
127,Canning Town,Angel,188,37,51.513870287242,0.00830563274393741,51.53296801568911,-0.10558144894639801
128,Cannon Street,Angel,28,0,51.5113620889071,-0.0902505268833338,51.53296801568911,-0.10558144894639801
129,Canons Park,Angel,14,0,51.60765056954779,-0.29439159654004604,51.53296801568911,-0.10558144894639801
130,Chalk Farm,Angel,18,44,51.5441490864876,-0.153733070875137,51.53296801568911,-0.10558144894639801
131,Charing Cross,Angel,0,59,51.5083586300048,-0.124802938133095,51.53296801568911,-0.10558144894639801
132,Chigwell,Angel,1,0,51.6178578723834,0.0761792150052964,51.53296801568911,-0.10558144894639801
133,Chiswick Park,Angel,2,0,51.4943707139869,-0.26773692216360995,51.53296801568911,-0.10558144894639801
134,Clapham Common,Angel,23,53,51.461803669852294,-0.13831490249485098,51.53296801568911,-0.10558144894639801
135,Clapham North,Angel,31,5,51.464916214992506,-0.12991006289038198,51.53296801568911,-0.10558144894639801
136,Clapham South,Angel,156,1,51.4526764891153,-0.147984069598376,51.53296801568911,-0.10558144894639801
137,Colindale,Angel,138,2,51.5952305160491,-0.250287543714841,51.53296801568911,-0.10558144894639801
138,Colliers Wood,Angel,133,0,51.41875918776179,-0.177415099875595,51.53296801568911,-0.10558144894639801
139,Covent Garden,Angel,3,51,51.512760234858206,-0.12450689463272302,51.53296801568911,-0.10558144894639801
140,Dagenham East,Angel,9,0,51.5441873390151,0.165833431683368,51.53296801568911,-0.10558144894639801
141,Dagenham Heathway,Angel,13,0,51.541211790954705,0.14767972018313802,51.53296801568911,-0.10558144894639801
142,Ealing Broadway,Angel,0,2,51.514861974896405,-0.302010381444888,51.53296801568911,-0.10558144894639801
143,Ealing Common,Angel,8,0,51.5102486557265,-0.28715141790547805,51.53296801568911,-0.10558144894639801
144,East Finchley,Angel,93,20,51.5873325447116,-0.164743886020014,51.53296801568911,-0.10558144894639801
145,East Ham,Angel,18,0,51.5392461649047,0.0515162933203073,51.53296801568911,-0.10558144894639801
146,East Putney,Angel,21,38,51.4588797835326,-0.210998234182405,51.53296801568911,-0.10558144894639801
147,Eastcote,Angel,6,0,51.576551823245,-0.39682329933106103,51.53296801568911,-0.10558144894639801
148,Edgware,Angel,88,0,51.6142296221626,-0.275093666466036,51.53296801568911,-0.10558144894639801
149,Elm Park,Angel,78,0,51.5491245841858,0.197252681986762,51.53296801568911,-0.10558144894639801
150,Embankment,Angel,0,55,51.50731249477679,-0.12236733652715699,51.53296801568911,-0.10558144894639801
151,Epping,Angel,1,0,51.6936861661113,0.11382555274482599,51.53296801568911,-0.10558144894639801
152,Euston,Angel,149,37,51.52866433052879,-0.133296471846732,51.53296801568911,-0.10558144894639801
153,Euston Square,Angel,0,18,51.52866433052879,-0.133296471846732,51.53296801568911,-0.10558144894639801
154,Fairlop,Angel,1,0,51.5961095431963,0.0905932794268205,51.53296801568911,-0.10558144894639801
155,Farringdon,Angel,0,51,51.5201956882975,-0.10484306195035001,51.53296801568911,-0.10558144894639801
156,Finchley Central,Angel,197,0,51.600903250521895,-0.193220636879031,51.53296801568911,-0.10558144894639801
