,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
0,500,Acton Town                    ,505,Alperton                      ,44,93
1,500,Acton Town                    ,506,Amersham                      ,0,20
2,500,Acton Town                    ,507,Angel                         ,13,0
4,500,Acton Town                    ,510,Arsenal                       ,0,17
5,500,Acton Town                    ,511,Baker Street                  ,15,0
6,500,Acton Town                    ,513,Bank / Monument               ,111,0
7,500,Acton Town                    ,501,Barbican                      ,9,0
8,500,Acton Town                    ,516,Barons Court                  ,25,0
9,500,Acton Town                    ,517,Bayswater                     ,0,11
10,500,Acton Town                    ,787,Bermondsey                    ,0,6
11,500,Acton Town                    ,521,Blackfriars                   ,43,0
14,500,Acton Town                    ,526,Boston Manor                  ,38,34
16,500,Acton Town                    ,778,Brixton                       ,11,20
17,500,Acton Town                    ,534,Caledonian Road               ,12,0
18,500,Acton Town                    ,535,Camden Town                   ,0,5
20,500,Acton Town                    ,852,Canary Wharf                  ,49,0
21,500,Acton Town                    ,884,Canning Town                  ,53,0
22,500,Acton Town                    ,536,Cannon Street                 ,18,0
23,500,Acton Town                    ,541,Chancery Lane                 ,49,0
24,500,Acton Town                    ,718,Charing Cross                 ,5,0
27,500,Acton Town                    ,550,Cockfosters                   ,0,59
28,500,Acton Town                    ,553,Covent Garden                 ,45,42
29,500,Acton Town                    ,560,Ealing Broadway               ,24,24
30,500,Acton Town                    ,561,Ealing Common                 ,14,15
31,500,Acton Town                    ,562,Earl's Court                  ,134,0
33,500,Acton Town                    ,567,East Putney                   ,0,5
34,500,Acton Town                    ,568,Edgware                       ,3,0
35,500,Acton Town                    ,542,Embankment                    ,0,16
37,500,Acton Town                    ,574,Euston                        ,11,0
38,500,Acton Town                    ,577,Farringdon                    ,36,50
39,500,Acton Town                    ,580,Finsbury Park                 ,11,0
40,500,Acton Town                    ,581,Fulham Broadway               ,41,0
42,500,Acton Town                    ,583,Gloucester Road               ,76,0
44,500,Acton Town                    ,586,Goodge Street                 ,17,0
46,500,Acton Town                    ,588,Great Portland Street         ,6,0
47,500,Acton Town                    ,590,Green Park                    ,93,34
49,500,Acton Town                    ,593,Hammersmith (Dis)             ,399,146
51,500,Acton Town                    ,779,Hatton Cross                  ,7,0
52,500,Acton Town                    ,781,Heathrow Terminal 4           ,0,99
55,500,Acton Town                    ,601,Hendon Central                ,6,0
58,500,Acton Town                    ,607,Holborn                       ,92,19
59,500,Acton Town                    ,611,Hounslow Central              ,67,165
60,500,Acton Town                    ,612,Hounslow East                 ,17,14
61,500,Acton Town                    ,613,Hounslow West                 ,40,0
62,500,Acton Town                    ,614,Hyde Park Corner              ,71,0
64,500,Acton Town                    ,616,Kennington                    ,3,3
65,500,Acton Town                    ,625,King's Cross St. Pancras      ,73,109
66,500,Acton Town                    ,626,Knightsbridge                 ,36,0
67,500,Acton Town                    ,631,Leicester Square              ,54,50
69,500,Acton Town                    ,634,Liverpool Street              ,90,103
70,500,Acton Town                    ,635,London Bridge                 ,47,24
71,500,Acton Town                    ,639,Mansion House                 ,38,3
73,500,Acton Town                    ,645,Moorgate                      ,16,117
74,500,Acton Town                    ,648,Mornington Crescent           ,6,0
75,500,Acton Town                    ,653,North Acton                   ,0,5
77,500,Acton Town                    ,789,North Greenwich               ,8,0
78,500,Acton Town                    ,655,Northfields                   ,196,32
81,500,Acton Town                    ,669,Oxford Circus                 ,48,0
82,500,Acton Town                    ,670,Paddington                    ,19,0
85,500,Acton Town                    ,674,Piccadilly Circus             ,94,58
86,500,Acton Town                    ,776,Pimlico                       ,21,0
87,500,Acton Town                    ,682,Ravenscourt Park              ,17,0
88,500,Acton Town                    ,683,Rayners Lane                  ,0,45
89,500,Acton Town                    ,685,Regent's Park                 ,9,0
90,500,Acton Town                    ,686,Richmond                      ,42,0
91,500,Acton Town                    ,687,Rickmansworth                 ,0,29
93,500,Acton Town                    ,691,Ruislip                       ,0,58
94,500,Acton Town                    ,694,Russell Square                ,34,0
96,500,Acton Town                    ,702,Sloane Square                 ,26,7
97,500,Acton Town                    ,704,South Ealing                  ,13,2
98,500,Acton Town                    ,707,South Harrow                  ,41,26
99,500,Acton Town                    ,708,South Kensington              ,137,35
100,500,Acton Town                    ,784,Southwark                     ,23,0
101,500,Acton Town                    ,695,St. James's Park              ,68,0
102,500,Acton Town                    ,697,St. Paul's                    ,0,4
105,500,Acton Town                    ,716,Stockwell                     ,4,12
106,500,Acton Town                    ,720,Sudbury Hill                  ,28,165
107,500,Acton Town                    ,723,Swiss Cottage                 ,5,0
108,500,Acton Town                    ,724,Temple                        ,12,0
109,500,Acton Town                    ,725,Theydon Bois                  ,4,0
110,500,Acton Town                    ,727,Tooting Broadway              ,0,15
111,500,Acton Town                    ,728,Tottenham Court Road          ,21,0
112,500,Acton Town                    ,729,Tottenham Hale                ,0,34
113,500,Acton Town                    ,731,Tower Hill                    ,29,0
114,500,Acton Town                    ,734,Turnham Green                 ,47,0
115,500,Acton Town                    ,740,Uxbridge                      ,0,56
116,500,Acton Town                    ,741,Victoria                      ,18,19
117,500,Acton Town                    ,742,Walthamstow Central           ,0,30
121,500,Acton Town                    ,755,West Brompton                 ,15,0
122,500,Acton Town                    ,760,West Kensington               ,74,0
123,500,Acton Town                    ,754,Westbourne Park               ,0,23
124,500,Acton Town                    ,761,Westminster                   ,24,0
126,500,Acton Town                    ,765,Willesden Green               ,0,4
127,500,Acton Town                    ,767,Wimbledon                     ,11,68
128,500,Acton Town                    ,768,Wimbledon Park                ,79,0
129,500,Acton Town                    ,770,Wood Green                    ,15,0
130,500,Acton Town                    ,599,Wood Lane                     ,36,0
131,502,Aldgate                       ,500,Acton Town                    ,0,2
132,502,Aldgate                       ,506,Amersham                      ,0,2
133,502,Aldgate                       ,507,Angel                         ,14,30
134,502,Aldgate                       ,508,Archway                       ,0,4
135,502,Aldgate                       ,509,Arnos Grove                   ,0,14
137,502,Aldgate                       ,511,Baker Street                  ,124,134
139,502,Aldgate                       ,513,Bank / Monument               ,0,7
140,502,Aldgate                       ,501,Barbican                      ,149,56
141,502,Aldgate                       ,517,Bayswater                     ,0,9
142,502,Aldgate                       ,519,Belsize Park                  ,0,7
143,502,Aldgate                       ,520,Bethnal Green                 ,2,4
144,502,Aldgate                       ,521,Blackfriars                   ,0,39
145,502,Aldgate                       ,522,Blackhorse Road               ,0,41
146,502,Aldgate                       ,524,Bond Street                   ,8,23
149,502,Aldgate                       ,532,Burnt Oak                     ,0,72
150,502,Aldgate                       ,534,Caledonian Road               ,5,0
151,502,Aldgate                       ,535,Camden Town                   ,0,26
152,502,Aldgate                       ,536,Cannon Street                 ,0,62
153,502,Aldgate                       ,537,Canons Park                   ,0,19
154,502,Aldgate                       ,539,Chalfont & Latimer            ,8,41
155,502,Aldgate                       ,540,Chalk Farm                    ,0,20
158,502,Aldgate                       ,543,Chesham                       ,0,132
159,502,Aldgate                       ,546,Chorleywood                   ,0,5
160,502,Aldgate                       ,547,Clapham Common                ,0,40
161,502,Aldgate                       ,550,Cockfosters                   ,0,7
162,502,Aldgate                       ,551,Colindale                     ,0,8
163,502,Aldgate                       ,552,Colliers Wood                 ,0,90
164,502,Aldgate                       ,553,Covent Garden                 ,2,0
165,502,Aldgate                       ,554,Croxley                       ,1,6
166,502,Aldgate                       ,558,Dollis Hill                   ,0,53
167,502,Aldgate                       ,560,Ealing Broadway               ,0,119
168,502,Aldgate                       ,562,Earl's Court                  ,0,5
169,502,Aldgate                       ,565,East Finchley                 ,2,63
170,502,Aldgate                       ,564,Eastcote                      ,0,12
171,502,Aldgate                       ,568,Edgware                       ,0,4
172,502,Aldgate                       ,569,Edgware Road (Cir)            ,38,64
173,502,Aldgate                       ,570,Elephant & Castle             ,0,3
175,502,Aldgate                       ,572,Epping                        ,0,27
176,502,Aldgate                       ,574,Euston                        ,0,23
177,502,Aldgate                       ,575,Euston Square                 ,253,340
178,502,Aldgate                       ,577,Farringdon                    ,582,1001
179,502,Aldgate                       ,578,Finchley Central              ,0,3
180,502,Aldgate                       ,579,Finchley Road                 ,14,113
181,502,Aldgate                       ,580,Finsbury Park                 ,0,28
182,502,Aldgate                       ,582,Gants Hill                    ,0,25
184,502,Aldgate                       ,584,Golders Green                 ,0,13
185,502,Aldgate                       ,588,Great Portland Street         ,197,65
186,502,Aldgate                       ,590,Green Park                    ,0,13
187,502,Aldgate                       ,593,Hammersmith (Dis)             ,0,4
189,502,Aldgate                       ,597,Harrow & Wealdstone           ,16,15
190,502,Aldgate                       ,598,Harrow-on-the-Hill            ,14,168
192,502,Aldgate                       ,602,High Barnet                   ,0,42
194,502,Aldgate                       ,603,Highbury & Islington          ,0,11
195,502,Aldgate                       ,604,Highgate                      ,0,8
196,502,Aldgate                       ,606,Hillingdon                    ,0,28
197,502,Aldgate                       ,608,Holland Park                  ,0,3
198,502,Aldgate                       ,609,Holloway Road                 ,5,61
199,502,Aldgate                       ,615,Ickenham                      ,0,38
200,502,Aldgate                       ,616,Kennington                    ,0,3
202,502,Aldgate                       ,619,Kentish Town                  ,0,10
203,502,Aldgate                       ,622,Kilburn                       ,0,108
204,502,Aldgate                       ,623,Kilburn Park                  ,0,32
205,502,Aldgate                       ,625,King's Cross St. Pancras      ,481,541
206,502,Aldgate                       ,624,Kingsbury                     ,0,12
208,502,Aldgate                       ,631,Leicester Square              ,0,15
211,502,Aldgate                       ,634,Liverpool Street              ,246,523
213,502,Aldgate                       ,637,Maida Vale                    ,3,0
214,502,Aldgate                       ,638,Manor House                   ,7,77
217,502,Aldgate                       ,641,Marylebone                    ,3,30
218,502,Aldgate                       ,643,Mill Hill East                ,5,3
219,502,Aldgate                       ,646,Moor Park                     ,0,37
220,502,Aldgate                       ,645,Moorgate                      ,200,204
222,502,Aldgate                       ,649,Neasden                       ,13,0
223,502,Aldgate                       ,789,North Greenwich               ,0,5
224,502,Aldgate                       ,656,North Harrow                  ,13,54
225,502,Aldgate                       ,655,Northfields                   ,0,35
226,502,Aldgate                       ,657,Northolt                      ,0,41
227,502,Aldgate                       ,660,Northwick Park                ,2,54
228,502,Aldgate                       ,661,Northwood                     ,0,171
229,502,Aldgate                       ,662,Northwood Hills               ,0,14
230,502,Aldgate                       ,663,Notting Hill Gate             ,0,21
231,502,Aldgate                       ,664,Oakwood                       ,0,8
232,502,Aldgate                       ,665,Old Street                    ,0,7
233,502,Aldgate                       ,669,Oxford Circus                 ,31,44
234,502,Aldgate                       ,670,Paddington                    ,92,185
237,502,Aldgate                       ,675,Pinner                        ,0,106
238,502,Aldgate                       ,677,Preston Road                  ,12,59
240,502,Aldgate                       ,679,Queensbury                    ,0,130
241,502,Aldgate                       ,683,Rayners Lane                  ,6,73
242,502,Aldgate                       ,684,Redbridge                     ,2,0
243,502,Aldgate                       ,687,Rickmansworth                 ,0,60
244,502,Aldgate                       ,690,Royal Oak                     ,0,89
245,502,Aldgate                       ,691,Ruislip                       ,0,23
246,502,Aldgate                       ,693,Ruislip Manor                 ,0,103
247,502,Aldgate                       ,694,Russell Square                ,6,0
248,502,Aldgate                       ,698,Seven Sisters                 ,0,75
249,502,Aldgate                       ,700,Shepherd's Bush (Cen)         ,0,23
250,502,Aldgate                       ,702,Sloane Square                 ,10,0
251,502,Aldgate                       ,707,South Harrow                  ,0,13
252,502,Aldgate                       ,708,South Kensington              ,18,0
253,502,Aldgate                       ,706,Southgate                     ,0,7
254,502,Aldgate                       ,695,St. James's Park              ,16,0
255,502,Aldgate                       ,696,St. John's Wood               ,0,35
257,502,Aldgate                       ,714,Stanmore                      ,6,103
262,502,Aldgate                       ,724,Temple                        ,14,0
263,502,Aldgate                       ,727,Tooting Broadway              ,0,5
264,502,Aldgate                       ,728,Tottenham Court Road          ,0,42
265,502,Aldgate                       ,730,Totteridge & Whetstone        ,0,2
266,502,Aldgate                       ,731,Tower Hill                    ,4,18
267,502,Aldgate                       ,733,Tufnell Park                  ,0,13
268,502,Aldgate                       ,735,Turnpike Lane                 ,6,50
269,502,Aldgate                       ,740,Uxbridge                      ,0,38
270,502,Aldgate                       ,741,Victoria                      ,14,29
272,502,Aldgate                       ,747,Waterloo                      ,5,42
273,502,Aldgate                       ,748,Watford                       ,0,2
274,502,Aldgate                       ,752,Wembley Park                  ,28,153
275,502,Aldgate                       ,758,West Hampstead                ,0,49
276,502,Aldgate                       ,759,West Harrow                   ,0,47
278,502,Aldgate                       ,761,Westminster                   ,15,0
279,502,Aldgate                       ,765,Willesden Green               ,0,22
281,502,Aldgate                       ,770,Wood Green                    ,0,33
283,502,Aldgate                       ,771,Woodside Park                 ,0,1
284,503,Aldgate East                  ,500,Acton Town                    ,0,23
285,503,Aldgate East                  ,507,Angel                         ,39,87
286,503,Aldgate East                  ,508,Archway                       ,0,5
288,503,Aldgate East                  ,511,Baker Street                  ,6,0
289,503,Aldgate East                  ,512,Balham                        ,0,2
290,503,Aldgate East                  ,513,Bank / Monument               ,71,398
291,503,Aldgate East                  ,501,Barbican                      ,88,203
292,503,Aldgate East                  ,514,Barking                       ,0,22
293,503,Aldgate East                  ,515,Barkingside                   ,0,18
294,503,Aldgate East                  ,516,Barons Court                  ,0,29
295,503,Aldgate East                  ,518,Becontree                     ,0,50
297,503,Aldgate East                  ,520,Bethnal Green                 ,0,19
298,503,Aldgate East                  ,521,Blackfriars                   ,221,1
299,503,Aldgate East                  ,524,Bond Street                   ,0,109
300,503,Aldgate East                  ,525,Borough                       ,21,0
302,503,Aldgate East                  ,528,Bow Road                      ,11,0
303,503,Aldgate East                  ,530,Bromley-by-Bow                ,0,1
305,503,Aldgate East                  ,534,Caledonian Road               ,19,0
306,503,Aldgate East                  ,535,Camden Town                   ,0,63
307,503,Aldgate East                  ,788,Canada Water                  ,0,127
308,503,Aldgate East                  ,884,Canning Town                  ,0,95
309,503,Aldgate East                  ,536,Cannon Street                 ,80,235
311,503,Aldgate East                  ,545,Chiswick Park                 ,55,0
312,503,Aldgate East                  ,547,Clapham Common                ,0,119
314,503,Aldgate East                  ,550,Cockfosters                   ,0,59
315,503,Aldgate East                  ,552,Colliers Wood                 ,8,0
318,503,Aldgate East                  ,556,Dagenham Heathway             ,0,764
319,503,Aldgate East                  ,557,Debden                        ,0,6
320,503,Aldgate East                  ,558,Dollis Hill                   ,0,1
321,503,Aldgate East                  ,560,Ealing Broadway               ,4,0
322,503,Aldgate East                  ,561,Ealing Common                 ,0,28
323,503,Aldgate East                  ,562,Earl's Court                  ,0,52
325,503,Aldgate East                  ,566,East Ham                      ,48,434
326,503,Aldgate East                  ,567,East Putney                   ,0,2
327,503,Aldgate East                  ,569,Edgware Road (Cir)            ,29,26
328,503,Aldgate East                  ,570,Elephant & Castle             ,0,43
329,503,Aldgate East                  ,571,Elm Park                      ,0,710
330,503,Aldgate East                  ,542,Embankment                    ,128,10
331,503,Aldgate East                  ,572,Epping                        ,0,16
332,503,Aldgate East                  ,574,Euston                        ,0,18
333,503,Aldgate East                  ,575,Euston Square                 ,70,2
334,503,Aldgate East                  ,577,Farringdon                    ,108,31
335,503,Aldgate East                  ,579,Finchley Road                 ,0,8
336,503,Aldgate East                  ,580,Finsbury Park                 ,0,17
338,503,Aldgate East                  ,583,Gloucester Road               ,84,0
340,503,Aldgate East                  ,588,Great Portland Street         ,44,0
341,503,Aldgate East                  ,590,Green Park                    ,66,0
342,503,Aldgate East                  ,592,Hainault                      ,0,31
343,503,Aldgate East                  ,593,Hammersmith (Dis)             ,32,7
344,503,Aldgate East                  ,773,Hammersmith (H&C)             ,5,0
345,503,Aldgate East                  ,595,Hanger Lane                   ,0,105
348,503,Aldgate East                  ,604,Highgate                      ,0,8
349,503,Aldgate East                  ,607,Holborn                       ,0,25
351,503,Aldgate East                  ,609,Holloway Road                 ,0,34
352,503,Aldgate East                  ,612,Hounslow East                 ,0,88
353,503,Aldgate East                  ,619,Kentish Town                  ,4,0
354,503,Aldgate East                  ,621,Kew Gardens                   ,0,28
356,503,Aldgate East                  ,625,King's Cross St. Pancras      ,56,140
357,503,Aldgate East                  ,626,Knightsbridge                 ,0,47
359,503,Aldgate East                  ,628,Lambeth North                 ,0,28
360,503,Aldgate East                  ,630,Latimer Road                  ,4,0
361,503,Aldgate East                  ,631,Leicester Square              ,0,109
362,503,Aldgate East                  ,632,Leyton                        ,0,207
363,503,Aldgate East                  ,633,Leytonstone                   ,0,139
364,503,Aldgate East                  ,634,Liverpool Street              ,109,71
365,503,Aldgate East                  ,635,London Bridge                 ,3,39
367,503,Aldgate East                  ,639,Mansion House                 ,60,0
368,503,Aldgate East                  ,640,Marble Arch                   ,0,66
369,503,Aldgate East                  ,641,Marylebone                    ,0,2
370,503,Aldgate East                  ,642,Mile End                      ,10,0
371,503,Aldgate East                  ,645,Moorgate                      ,67,0
372,503,Aldgate East                  ,647,Morden                        ,0,2
373,503,Aldgate East                  ,789,North Greenwich               ,22,79
374,503,Aldgate East                  ,663,Notting Hill Gate             ,9,0
377,503,Aldgate East                  ,669,Oxford Circus                 ,93,195
378,503,Aldgate East                  ,670,Paddington                    ,16,788
379,503,Aldgate East                  ,672,Parsons Green                 ,48,0
380,503,Aldgate East                  ,674,Piccadilly Circus             ,55,5
381,503,Aldgate East                  ,676,Plaistow                      ,0,40
382,503,Aldgate East                  ,678,Putney Bridge                 ,66,0
383,503,Aldgate East                  ,680,Queen's Park                  ,0,7
384,503,Aldgate East                  ,679,Queensbury                    ,0,23
385,503,Aldgate East                  ,686,Richmond                      ,0,30
386,503,Aldgate East                  ,690,Royal Oak                     ,0,2
389,503,Aldgate East                  ,775,Shepherd's Bush Market        ,4,0
390,503,Aldgate East                  ,702,Sloane Square                 ,26,30
393,503,Aldgate East                  ,708,South Kensington              ,94,1
394,503,Aldgate East                  ,712,South Woodford                ,0,46
395,503,Aldgate East                  ,706,Southgate                     ,0,21
396,503,Aldgate East                  ,695,St. James's Park              ,186,76
397,503,Aldgate East                  ,713,Stamford Brook                ,0,18
398,503,Aldgate East                  ,715,Stepney Green                 ,10,0
399,503,Aldgate East                  ,717,Stonebridge Park              ,0,1
400,503,Aldgate East                  ,719,Stratford                     ,12,80
401,503,Aldgate East                  ,721,Sudbury Town                  ,0,18
402,503,Aldgate East                  ,724,Temple                        ,165,33
403,503,Aldgate East                  ,726,Tooting Bec                   ,0,34
404,503,Aldgate East                  ,727,Tooting Broadway              ,0,51
405,503,Aldgate East                  ,728,Tottenham Court Road          ,135,7
407,503,Aldgate East                  ,731,Tower Hill                    ,0,122
410,503,Aldgate East                  ,735,Turnpike Lane                 ,0,20
412,503,Aldgate East                  ,739,Upton Park                    ,0,7
413,503,Aldgate East                  ,777,Vauxhall                      ,41,43
414,503,Aldgate East                  ,741,Victoria                      ,2,39
415,503,Aldgate East                  ,743,Wanstead                      ,0,22
416,503,Aldgate East                  ,747,Waterloo                      ,57,535
417,503,Aldgate East                  ,752,Wembley Park                  ,5,0
418,503,Aldgate East                  ,757,West Ham                      ,164,168
420,503,Aldgate East                  ,760,West Kensington               ,38,0
421,503,Aldgate East                  ,754,Westbourne Park               ,0,5
422,503,Aldgate East                  ,761,Westminster                   ,258,41
423,503,Aldgate East                  ,764,White City                    ,12,0
424,503,Aldgate East                  ,763,Whitechapel                   ,144,450
426,503,Aldgate East                  ,599,Wood Lane                     ,0,55
428,505,Alperton                      ,500,Acton Town                    ,43,118
431,505,Alperton                      ,511,Baker Street                  ,2,0
432,505,Alperton                      ,513,Bank / Monument               ,54,0
433,505,Alperton                      ,516,Barons Court                  ,52,47
434,505,Alperton                      ,521,Blackfriars                   ,1,0
436,505,Alperton                      ,536,Cannon Street                 ,7,0
437,505,Alperton                      ,541,Chancery Lane                 ,1,0
439,505,Alperton                      ,545,Chiswick Park                 ,3,10
440,505,Alperton                      ,553,Covent Garden                 ,50,0
441,505,Alperton                      ,554,Croxley                       ,15,0
442,505,Alperton                      ,560,Ealing Broadway               ,1,0
443,505,Alperton                      ,561,Ealing Common                 ,76,0
444,505,Alperton                      ,562,Earl's Court                  ,88,0
445,505,Alperton                      ,563,East Acton                    ,3,0
446,505,Alperton                      ,564,Eastcote                      ,0,59
447,505,Alperton                      ,570,Elephant & Castle             ,17,0
448,505,Alperton                      ,542,Embankment                    ,2,0
450,505,Alperton                      ,581,Fulham Broadway               ,108,0
451,505,Alperton                      ,583,Gloucester Road               ,13,1
453,505,Alperton                      ,593,Hammersmith (Dis)             ,243,74
454,505,Alperton                      ,598,Harrow-on-the-Hill            ,15,0
455,505,Alperton                      ,779,Hatton Cross                  ,21,99
457,505,Alperton                      ,780,Heathrow Terminals 123        ,5,0
458,505,Alperton                      ,606,Hillingdon                    ,12,0
459,505,Alperton                      ,607,Holborn                       ,43,8
460,505,Alperton                      ,609,Holloway Road                 ,6,0
461,505,Alperton                      ,611,Hounslow Central              ,51,7
462,505,Alperton                      ,612,Hounslow East                 ,47,0
464,505,Alperton                      ,614,Hyde Park Corner              ,23,0
466,505,Alperton                      ,621,Kew Gardens                   ,1,0
468,505,Alperton                      ,626,Knightsbridge                 ,23,0
469,505,Alperton                      ,631,Leicester Square              ,6,9
470,505,Alperton                      ,634,Liverpool Street              ,19,0
471,505,Alperton                      ,654,North Ealing                  ,25,6
472,505,Alperton                      ,655,Northfields                   ,9,0
473,505,Alperton                      ,665,Old Street                    ,4,0
474,505,Alperton                      ,667,Osterley                      ,6,18
475,505,Alperton                      ,669,Oxford Circus                 ,3,0
476,505,Alperton                      ,671,Park Royal                    ,53,0
477,505,Alperton                      ,674,Piccadilly Circus             ,8,0
479,505,Alperton                      ,675,Pinner                        ,0,14
480,505,Alperton                      ,678,Putney Bridge                 ,0,2
481,505,Alperton                      ,683,Rayners Lane                  ,0,74
483,505,Alperton                      ,686,Richmond                      ,49,6
485,505,Alperton                      ,693,Ruislip Manor                 ,15,0
486,505,Alperton                      ,694,Russell Square                ,9,0
487,505,Alperton                      ,775,Shepherd's Bush Market        ,10,0
489,505,Alperton                      ,707,South Harrow                  ,26,101
490,505,Alperton                      ,708,South Kensington              ,44,0
492,505,Alperton                      ,695,St. James's Park              ,24,0
493,505,Alperton                      ,697,St. Paul's                    ,4,0
494,505,Alperton                      ,719,Stratford                     ,0,39
495,505,Alperton                      ,720,Sudbury Hill                  ,0,19
496,505,Alperton                      ,724,Temple                        ,6,0
497,505,Alperton                      ,726,Tooting Bec                   ,0,2
498,505,Alperton                      ,728,Tottenham Court Road          ,4,0
500,505,Alperton                      ,734,Turnham Green                 ,22,0
501,505,Alperton                      ,740,Uxbridge                      ,157,0
502,505,Alperton                      ,777,Vauxhall                      ,0,20
503,505,Alperton                      ,741,Victoria                      ,5,27
504,505,Alperton                      ,745,Warren Street                 ,10,0
505,505,Alperton                      ,747,Waterloo                      ,1,0
507,505,Alperton                      ,752,Wembley Park                  ,12,0
508,505,Alperton                      ,759,West Harrow                   ,0,49
509,505,Alperton                      ,760,West Kensington               ,26,0
510,505,Alperton                      ,761,Westminster                   ,28,0
511,505,Alperton                      ,767,Wimbledon                     ,5,22
512,505,Alperton                      ,770,Wood Green                    ,3,0
513,506,Amersham                      ,502,Aldgate                       ,30,0
514,506,Amersham                      ,505,Alperton                      ,52,0
515,506,Amersham                      ,507,Angel                         ,14,0
516,506,Amersham                      ,511,Baker Street                  ,62,0
517,506,Amersham                      ,513,Bank / Monument               ,2,0
518,506,Amersham                      ,501,Barbican                      ,39,0
519,506,Amersham                      ,517,Bayswater                     ,2,0
520,506,Amersham                      ,521,Blackfriars                   ,60,0
522,506,Amersham                      ,525,Borough                       ,5,0
523,506,Amersham                      ,852,Canary Wharf                  ,16,0
524,506,Amersham                      ,884,Canning Town                  ,6,0
525,506,Amersham                      ,539,Chalfont & Latimer            ,5,0
526,506,Amersham                      ,541,Chancery Lane                 ,42,0
527,506,Amersham                      ,718,Charing Cross                 ,23,0
528,506,Amersham                      ,543,Chesham                       ,0,1
529,506,Amersham                      ,545,Chiswick Park                 ,26,0
534,506,Amersham                      ,542,Embankment                    ,25,0
535,506,Amersham                      ,575,Euston Square                 ,58,0
536,506,Amersham                      ,577,Farringdon                    ,48,0
537,506,Amersham                      ,579,Finchley Road                 ,41,0
538,506,Amersham                      ,580,Finsbury Park                 ,5,0
541,506,Amersham                      ,588,Great Portland Street         ,18,0
542,506,Amersham                      ,590,Green Park                    ,8,0
543,506,Amersham                      ,773,Hammersmith (H&C)             ,26,0
544,506,Amersham                      ,598,Harrow-on-the-Hill            ,9,7
545,506,Amersham                      ,605,High Street Kensington        ,1,0
546,506,Amersham                      ,603,Highbury & Islington          ,22,0
547,506,Amersham                      ,607,Holborn                       ,22,0
548,506,Amersham                      ,614,Hyde Park Corner              ,1,0
550,506,Amersham                      ,619,Kentish Town                  ,16,0
552,506,Amersham                      ,625,King's Cross St. Pancras      ,56,1
553,506,Amersham                      ,626,Knightsbridge                 ,15,0
554,506,Amersham                      ,628,Lambeth North                 ,16,0
555,506,Amersham                      ,629,Lancaster Gate                ,2,0
558,506,Amersham                      ,634,Liverpool Street              ,73,0
559,506,Amersham                      ,635,London Bridge                 ,9,0
560,506,Amersham                      ,639,Mansion House                 ,32,0
561,506,Amersham                      ,640,Marble Arch                   ,7,0
562,506,Amersham                      ,641,Marylebone                    ,35,0
564,506,Amersham                      ,645,Moorgate                      ,61,0
567,506,Amersham                      ,660,Northwick Park                ,23,0
571,506,Amersham                      ,668,Oval                          ,13,0
572,506,Amersham                      ,669,Oxford Circus                 ,39,0
573,506,Amersham                      ,670,Paddington                    ,16,0
574,506,Amersham                      ,674,Piccadilly Circus             ,44,1
575,506,Amersham                      ,776,Pimlico                       ,15,0
576,506,Amersham                      ,675,Pinner                        ,20,1
579,506,Amersham                      ,683,Rayners Lane                  ,0,2
580,506,Amersham                      ,686,Richmond                      ,2,0
581,506,Amersham                      ,687,Rickmansworth                 ,37,1
582,506,Amersham                      ,693,Ruislip Manor                 ,0,1
583,506,Amersham                      ,694,Russell Square                ,3,0
585,506,Amersham                      ,702,Sloane Square                 ,27,0
586,506,Amersham                      ,708,South Kensington              ,1,4
588,506,Amersham                      ,784,Southwark                     ,0,3
589,506,Amersham                      ,695,St. James's Park              ,20,0
590,506,Amersham                      ,696,St. John's Wood               ,14,0
591,506,Amersham                      ,697,St. Paul's                    ,80,0
592,506,Amersham                      ,723,Swiss Cottage                 ,3,0
593,506,Amersham                      ,724,Temple                        ,15,0
594,506,Amersham                      ,728,Tottenham Court Road          ,1,0
595,506,Amersham                      ,731,Tower Hill                    ,14,0
596,506,Amersham                      ,740,Uxbridge                      ,38,0
597,506,Amersham                      ,777,Vauxhall                      ,28,0
598,506,Amersham                      ,741,Victoria                      ,28,0
599,506,Amersham                      ,747,Waterloo                      ,37,0
600,506,Amersham                      ,748,Watford                       ,0,28
601,506,Amersham                      ,752,Wembley Park                  ,6,2
602,506,Amersham                      ,755,West Brompton                 ,1,0
603,506,Amersham                      ,758,West Hampstead                ,0,1
604,506,Amersham                      ,761,Westminster                   ,7,0
605,507,Angel                         ,500,Acton Town                    ,0,11
606,507,Angel                         ,502,Aldgate                       ,26,24
607,507,Angel                         ,503,Aldgate East                  ,12,53
608,507,Angel                         ,505,Alperton                      ,0,35
610,507,Angel                         ,508,Archway                       ,15,89
611,507,Angel                         ,509,Arnos Grove                   ,0,45
612,507,Angel                         ,510,Arsenal                       ,0,13
613,507,Angel                         ,511,Baker Street                  ,73,56
614,507,Angel                         ,512,Balham                        ,0,120
615,507,Angel                         ,513,Bank / Monument               ,1206,162
617,507,Angel                         ,514,Barking                       ,6,14
618,507,Angel                         ,516,Barons Court                  ,17,25
620,507,Angel                         ,519,Belsize Park                  ,13,96
621,507,Angel                         ,520,Bethnal Green                 ,0,35
622,507,Angel                         ,521,Blackfriars                   ,19,0
623,507,Angel                         ,522,Blackhorse Road               ,0,6
624,507,Angel                         ,524,Bond Street                   ,11,33
